epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.208,1.21175,1.6365,1.56296,0.55789,0.45363,0.46606,0.29335,1.72912,1.96085,2.14635,0.000474972,0.000474972,0.000474972
2,297.54,1.26153,1.41397,1.57719,0.51107,0.4931,0.45732,0.2908,1.60787,2.25946,2.02689,0.000904216,0.000904216,0.000904216
3,440.301,1.25183,1.37826,1.56926,0.62639,0.48145,0.5079,0.34112,1.58684,1.71693,2.08736,0.0012863,0.0012863,0.0012863
4,582.195,1.18099,1.27085,1.51711,0.71017,0.60973,0.66455,0.46097,1.33834,1.23235,1.75091,0.00121679,0.00121679,0.00121679
5,723.625,1.15903,1.20657,1.48558,0.69105,0.61555,0.68349,0.4733,1.30888,1.25338,1.68828,0.00114606,0.00114606,0.00114606
6,865.556,1.1082,1.13452,1.45185,0.71499,0.61409,0.70309,0.49741,1.28102,1.17964,1.66172,0.00107532,0.00107532,0.00107532
7,1010.42,1.08928,1.08594,1.43519,0.71383,0.67777,0.72634,0.52518,1.19347,1.12167,1.5362,0.00100459,0.00100459,0.00100459
8,1155.9,1.06908,1.03841,1.41424,0.67209,0.65754,0.68853,0.4903,1.2443,1.17601,1.61338,0.000933851,0.000933851,0.000933851
9,1303.32,1.03913,1.00711,1.39733,0.75175,0.66296,0.74407,0.53813,1.23061,1.07747,1.63144,0.000863116,0.000863116,0.000863116
10,1448.07,1.01229,0.9669,1.3807,0.71082,0.69277,0.73251,0.52484,1.1911,1.08646,1.53207,0.00079238,0.00079238,0.00079238
11,1592.16,1.08989,0.9713,1.50409,0.75281,0.7514,0.78678,0.57822,1.1422,0.89243,1.47363,0.000721645,0.000721645,0.000721645
12,1734.76,1.08576,0.93605,1.49553,0.73931,0.73457,0.7829,0.56648,1.14548,0.90899,1.50032,0.000650909,0.000650909,0.000650909
13,1875.86,1.04956,0.90364,1.46536,0.80684,0.72634,0.79562,0.58801,1.10614,0.85412,1.43793,0.000580174,0.000580174,0.000580174
14,2016.49,1.03773,0.86741,1.45515,0.81648,0.74523,0.81384,0.60715,1.07156,0.81035,1.41478,0.000509438,0.000509438,0.000509438
15,2158.42,1.01501,0.82263,1.42842,0.80176,0.76134,0.81853,0.60509,1.09093,0.79383,1.42408,0.000438703,0.000438703,0.000438703
16,2302.22,0.99426,0.7936,1.40895,0.78767,0.76772,0.8111,0.60718,1.06746,0.81714,1.39014,0.000367967,0.000367967,0.000367967
17,2444.3,0.98111,0.77223,1.39373,0.80265,0.77011,0.82952,0.62646,1.03947,0.76875,1.36956,0.000297232,0.000297232,0.000297232
18,2585.84,0.96893,0.74102,1.37602,0.82477,0.78828,0.83865,0.64049,1.02311,0.73523,1.34976,0.000226497,0.000226497,0.000226497
19,2727.52,0.94774,0.71776,1.35909,0.8087,0.80312,0.84744,0.6412,1.01605,0.71281,1.35181,0.000155761,0.000155761,0.000155761
20,2868.23,0.92747,0.6819,1.3491,0.82295,0.80234,0.8468,0.64967,0.99554,0.69212,1.32779,8.50255e-05,8.50255e-05,8.50255e-05
