Crop,Year,Year (date),Value
Maize,2000,01/01/2000,17.2805
Maize,2001,01/01/2001,17.3683
Maize,2002,01/01/2002,17.39
Maize,2003,01/01/2003,17.4271
Maize,2004,01/01/2004,17.3683
Maize,2005,01/01/2005,17.4161
Maize,2006,01/01/2006,17.4015
Maize,2007,01/01/2007,17.4424
Maize,2008,01/01/2008,17.4485
Maize,2009,01/01/2009,17.6005
Maize,2010,01/01/2010,18.1785
Maize,2011,01/01/2011,17.9797
Maize,2012,01/01/2012,17.8852
Maize,2013,01/01/2013,17.969
Maize,2014,01/01/2014,17.496
Maize,2015,01/01/2015,17.4969
Maize,2016,01/01/2016,17.4315
Maize,2017,01/01/2017,17.4315
Maize,2018,01/01/2018,17.4315
Maize,2019,01/01/2019,17.5366
Maize,2020,01/01/2020,17.5345
Maize,2021,01/01/2021,17.5358
Maize,2022,01/01/2022,17.4315
Rice,2000,01/01/2000,11.7911
Rice,2001,01/01/2001,11.8032
Rice,2002,01/01/2002,11.8231
Rice,2003,01/01/2003,11.7965
Rice,2004,01/01/2004,11.8021
Rice,2005,01/01/2005,11.7696
Rice,2006,01/01/2006,11.7608
Rice,2007,01/01/2007,11.7431
Rice,2008,01/01/2008,11.8885
Rice,2009,01/01/2009,11.875
Rice,2010,01/01/2010,11.6888
Rice,2011,01/01/2011,11.8305
Rice,2012,01/01/2012,12.0169
Rice,2013,01/01/2013,11.8739
Rice,2014,01/01/2014,11.6826
Rice,2015,01/01/2015,11.6931
Rice,2016,01/01/2016,11.7157
Rice,2017,01/01/2017,11.7157
Rice,2018,01/01/2018,11.7157
Rice,2019,01/01/2019,11.6756
Rice,2020,01/01/2020,11.6761
Rice,2021,01/01/2021,11.6791
Rice,2022,01/01/2022,11.7157
Sorghum,2000,01/01/2000,12.3225
Sorghum,2001,01/01/2001,12.3167
Sorghum,2002,01/01/2002,12.3143
Sorghum,2003,01/01/2003,12.3181
Sorghum,2004,01/01/2004,12.3193
Sorghum,2005,01/01/2005,12.3171
Sorghum,2006,01/01/2006,12.3127
Sorghum,2007,01/01/2007,12.3109
Sorghum,2008,01/01/2008,12.3021
Sorghum,2009,01/01/2009,12.3021
Sorghum,2010,01/01/2010,12.3069
Sorghum,2011,01/01/2011,12.3101
Sorghum,2012,01/01/2012,12.2977
Sorghum,2013,01/01/2013,12.3146
Sorghum,2014,01/01/2014,12.3181
Sorghum,2015,01/01/2015,12.3194
Sorghum,2016,01/01/2016,12.3146
Sorghum,2017,01/01/2017,12.3146
Sorghum,2018,01/01/2018,12.3146
Sorghum,2019,01/01/2019,12.3245
Sorghum,2020,01/01/2020,12.3239
Sorghum,2021,01/01/2021,12.3244
Sorghum,2022,01/01/2022,12.3146
Millet,2000,01/01/2000,9.50222
Millet,2001,01/01/2001,9.44556
Millet,2002,01/01/2002,9.53499
Millet,2003,01/01/2003,9.4954
Millet,2004,01/01/2004,9.48648
Millet,2005,01/01/2005,9.49288
Millet,2006,01/01/2006,9.51248
Millet,2007,01/01/2007,9.55016
Millet,2008,01/01/2008,9.42736
Millet,2009,01/01/2009,9.34559
Millet,2010,01/01/2010,9.39169
Millet,2011,01/01/2011,9.90909
Millet,2012,01/01/2012,9.91786
Millet,2013,01/01/2013,9.54272
Millet,2014,01/01/2014,9.91511
Millet,2015,01/01/2015,10.0054
Millet,2016,01/01/2016,9.54272
Millet,2017,01/01/2017,9.54272
Millet,2018,01/01/2018,9.54272
Millet,2019,01/01/2019,9.78049
Millet,2020,01/01/2020,9.77967
Millet,2021,01/01/2021,9.78619
Millet,2022,01/01/2022,9.54272
