State,Latitude,Longitude,PHL
Abia,5.5,7.5,0.17
Adamawa,9.3,12.5,0.18
Akwa Ibom,5,8,0.17
Anambra,6.2,7,0.17
Bauchi,10.3,9.8,0.18
Bayelsa,4.7,6.3,0.17
Benue,7.8,8.8,0.18
Borno,11.8,13.1,0.17
Cross River,5.5,8.5,0.17
Delta,5.5,6.3,0.18
Ebonyi,6.3,8,0.17
Edo,6.3,5.6,0.18
Ekiti,7.7,5.2,0.18
Enugu,6.5,7.5,0.18
Gombe,10.3,11.2,0.18
Imo,5.5,7,0.18
Jigawa,12.5,9.5,0.17
Kaduna,10.6,7.4,0.16
Kano,12,8.5,0.15
Katsina,13,7.6,0.17
Kebbi,12.5,4.2,0.18
Kogi,7.8,6.7,0.18
Kwara,8.5,4.5,0.18
Lagos,6.5,3.4,0.18
Nasarawa,8.5,7.7,0.18
Niger,9.5,6.5,0.18
Ogun,7,3.5,0.18
Ondo,7.1,4.8,0.18
Osun,7.8,4.5,0.18
Oyo,7.4,3.9,0.18
Plateau,9.9,8.9,0.18
Rivers,4.8,7,0.17
Sokoto,13,5.2,0.15
Taraba,8,11.3,0.18
Yobe,12.3,11.4,0.17
Zamfara,12.2,6.7,0.17
Abuja Federal Capital Territory,9.07,7.49,0.18
