Nutrient1,Year1,Value
Energy,2000,2.247009697
Carbohydrate,2000,2.633057553
Protein,2000,4.182985602
Fat,2000,0.862185513
"Fibre, total dietary",2000,4.485975953
"Calcium, Ca",2000,0.336756223
"Iron, Fe",2000,4.877621478
"Zinc, Zn",2000,2.439531025
"Folate, total",2000,1.435324629
Energy,2001,1.756939062
Carbohydrate,2001,2.058790254
Protein,2001,3.270680499
Fat,2001,0.674143689
"Fibre, total dietary",2001,3.507588948
"Calcium, Ca",2001,0.263310017
"Iron, Fe",2001,3.813816964
"Zinc, Zn",2001,1.907471675
"Folate, total",2001,1.12228172
Energy,2002,2.072979065
Carbohydrate,2002,2.42912756
Protein,2002,3.859013867
Fat,2002,0.795409348
"Fibre, total dietary",2002,4.138537652
"Calcium, Ca",2002,0.310674494
"Iron, Fe",2002,4.499850278
"Zinc, Zn",2002,2.250589639
"Folate, total",2002,1.324158908
Energy,2003,2.11315569
Carbohydrate,2003,2.476206736
Protein,2003,3.93380582
Fat,2003,0.810825260
"Fibre, total dietary",2003,4.218747085
"Calcium, Ca",2003,0.316695709
"Iron, Fe",2003,4.587062349
"Zinc, Zn",2003,2.294208553
"Folate, total",2003,1.349822571
Energy,2004,1.932497541
Carbohydrate,2004,2.264510585
Protein,2004,3.59749644
Fat,2004,0.741506094
"Fibre, total dietary",2004,3.858077474
"Calcium, Ca",2004,0.289620723
"Iron, Fe",2004,4.194904687
"Zinc, Zn",2004,2.098071812
"Folate, total",2004,1.234423385
Energy,2005,2.049975728
Carbohydrate,2005,2.402172131
Protein,2005,3.816191342
Fat,2005,0.786582887
"Fibre, total dietary",2005,4.092613321
"Calcium, Ca",2005,0.307227015
"Iron, Fe",2005,4.449916549
"Zinc, Zn",2005,2.225615401
"Folate, total",2005,1.309465044
Energy,2006,2.151773689
Carbohydrate,2006,2.521459507
Protein,2006,4.005696268
Fat,2006,0.825643122
"Fibre, total dietary",2006,4.295844845
"Calcium, Ca",2006,0.322483335
"Iron, Fe",2006,4.670891084
"Zinc, Zn",2006,2.3361353
"Folate, total",2006,1.374490629
Energy,2007,2.167217169
Carbohydrate,2007,2.539556257
Protein,2007,4.034445523
Fat,2007,0.831568840
"Fibre, total dietary",2007,4.326676524
"Calcium, Ca",2007,0.324797828
"Iron, Fe",2007,4.704414505
"Zinc, Zn",2007,2.352901961
"Folate, total",2007,1.384355476
Energy,2008,2.58184799
Carbohydrate,2008,3.02542279
Protein,2008,4.806313466
Fat,2008,0.990664142
"Fibre, total dietary",2008,5.154453944
"Calcium, Ca",2008,0.386937973
"Iron, Fe",2008,5.604460552
"Zinc, Zn",2008,2.803057896
"Folate, total",2008,1.64920962
