Step1,Year,Value
Harvesting/field drying,2018,506298
Harvesting/field drying,2019,808858
Harvesting/field drying,2020,796292
Harvesting/field drying,2021,818194
Harvesting/field drying,2022,506298
Further drying,2018,295198
Further drying,2019,471607
Further drying,2020,464280
Further drying,2021,477050
Further drying,2022,295198
Threshing and Shelling,2018,93519
Threshing and Shelling,2019,149405
Threshing and Shelling,2020,147084
Threshing and Shelling,2021,151130
Threshing and Shelling,2022,93519
Transport from field,2018,165874
Transport from field,2019,265032
Transport from field,2020,260921
Transport from field,2021,268062
Transport from field,2022,165874
Household-level storage,2018,313804
Household-level storage,2019,514543
Household-level storage,2020,506284
Household-level storage,2021,520407
Household-level storage,2022,313804
